series0
x;y;
730;90.75;
731;90.73;
732;90.57;
733;90.42;
734;90.23;
735;90.03;
736;89.86;
737;89.72;
738;89.47;
739;88.81;
740;88.07;
741;85.82;
742;84.70;
743;83.42;
744;81.98;
745;81.98;
746;80.49;
747;79.01;
748;77.24;
749;75.60;
750;73.80;
751;71.73;
752;69.98;
753;67.89;
754;65.79;
755;63.88;
756;61.68;
757;59.45;
758;57.25;
759;54.80;
760;53.07;
761;50.71;
762;48.11;
763;45.51;
764;42.59;
765;40.08;
766;37.32;
767;34.34;
768;31.57;
769;28.83;
770;26.02;
771;23.23;
772;20.49;
773;17.63;
774;14.97;
775;12.29;
776;9.41;
777;6.51;
778;3.58;
779;0.62;
780;-2.23;
781;-5.17;
782;-8.13;
783;-10.90;
784;-13.78;
785;-16.60;
786;-19.41;
787;-22.26;
788;-22.26;
789;-27.79;
790;-30.55;
791;-33.23;
792;-35.91;
793;-38.57;
794;-38.57;
795;-43.63;
796;-48.60;
797;-50.97;
798;-53.39;
799;-55.67;
800;-57.90;
801;-62.21;
802;-62.21;
803;-64.27;
804;-66.23;
805;-68.19;
806;-70.03;
807;-71.85;
808;-73.51;
809;-75.22;
810;-76.78;
811;-78.33;
812;-79.69;
813;-81.00;
814;-82.28;
815;-83.45;
816;-83.45;
817;-85.59;
818;-85.59;
819;-87.33;
820;-88.76;
821;-88.76;
822;-89.37;
823;-89.82;
824;-90.33;
825;-90.69;
826;-90.79;
827;-90.75;
828;-90.71;
829;-90.69;
830;-90.66;
831;-90.62;
832;-90.57;
833;-90.52;
834;-90.44;
835;-90.17;
836;-89.56;
837;-88.83;
838;-87.84;
839;-86.83;
840;-85.74;
841;-84.48;
842;-83.17;
843;-81.76;
844;-80.33;
845;-78.63;
846;-77.11;
847;-75.37;
848;-73.48;
849;-71.76;
850;-69.72;
851;-67.78;
852;-65.81;
853;-63.75;
854;-61.60;
855;-59.36;
856;-57.12;
857;-54.81;
858;-52.89;
859;-50.48;
860;-47.77;
861;-45.37;
862;-42.65;
863;-40.07;
864;-37.30;
865;-34.57;
866;-31.93;
867;-28.90;
868;-25.91;
869;-23.13;
870;-20.49;
871;-17.69;
872;-14.88;
873;-12.28;
874;-9.46;
875;-6.60;
876;-3.61;
877;-0.71;
878;2.18;
879;5.02;
880;7.87;
881;10.74;
882;13.62;
883;16.51;
884;19.32;
885;22.12;
886;24.89;
887;27.66;
888;30.40;
889;33.09;
890;35.78;
891;38.42;
892;41.02;
893;43.59;
894;46.08;
895;48.52;
896;50.92;
897;53.28;
898;57.83;
899;62.18;
900;64.26;
901;66.28;
902;68.19;
903;70.07;
904;71.83;
905;73.56;
906;75.17;
907;76.81;
908;78.31;
909;79.67;
910;81.10;
911;82.22;
912;83.50;
913;84.66;
914;85.54;
915;86.46;
916;87.31;
917;88.09;
918;88.73;
919;89.27;
920;89.61;
921;90.12;
922;90.44;
923;90.80;
924;90.72;
925;90.59;
926;90.48;
927;90.05;
928;89.85;
929;89.69;
930;89.69;
931;89.48;
932;88.08;
933;85.82;
934;84.71;
935;83.45;
936;82.00;
937;80.54;
938;79.02;
939;77.31;
940;75.64;
941;73.86;
942;71.80;
943;70.03;
944;67.92;
945;65.84;
946;63.90;
947;61.73;
948;59.50;
949;57.28;
950;54.87;
951;53.09;
952;50.76;
953;48.16;
954;45.55;
955;40.16;
956;34.42;
957;31.61;
958;28.87;
959;26.11;
960;23.30;
961;20.54;
962;17.67;
963;14.97;
964;12.32;
965;9.42;
966;6.59;
967;3.67;
968;-2.16;
969;-5.10;
970;-7.96;
971;-10.84;
972;-13.73;
973;-16.55;
974;-19.37;
975;-22.21;
976;-24.96;
977;-27.74;
978;-33.17;
979;-38.51;
980;-41.07;
981;-43.58;
982;-46.10;
983;-50.93;
984;-50.93;
985;-53.35;
986;-55.63;
987;-57.85;
988;-60.06;
989;-62.16;
990;-64.22;
991;-66.19;
992;-68.16;
993;-71.81;
994;-75.20;
995;-76.75;
996;-78.29;
997;-79.67;
998;-80.97;
999;-82.27;
1000;-83.42;
1001;-85.56;
1002;-86.45;
1003;-88.00;
1004;-88.75;
1005;-89.38;
1006;-89.83;
1007;-90.34;
1008;-90.71;
1009;-90.77;
1010;-90.74;
1011;-90.70;
1012;-90.68;
1013;-90.64;
1014;-90.60;
1015;-90.55;
1016;-90.49;
1017;-90.18;
1018;-88.85;
1019;-87.85;
1020;-86.84;
1021;-85.77;
1022;-85.77;
1023;-83.20;
1024;-81.79;
1025;-80.37;
1026;-78.69;
1027;-77.14;
1028;-75.43;
1029;-73.51;
1030;-71.78;
1031;-69.79;
1032;-67.85;
1033;-65.86;
1034;-63.78;
1035;-59.38;
1036;-54.85;
1037;-54.85;
1038;-52.91;
1039;-50.55;
1040;-47.78;
1041;-45.43;
1042;-42.70;
1043;-40.10;
1044;-34.63;
1045;-34.63;
1046;-28.99;
1047;-26.00;
1048;-23.23;
1049;-20.55;
1050;-17.76;
1051;-14.91;
1052;-9.52;
1053;-6.67;
1054;-3.68;
1055;-0.75;
1056;2.13;
1057;4.97;
1058;10.67;
1059;10.67;
1060;16.45;
1061;19.27;
1062;22.07;
1063;24.85;
1064;27.60;
1065;30.34;
1066;33.03;
1067;35.73;
1068;38.37;
1069;40.98;
1070;46.03;
1071;48.46;
1072;50.88;
1073;53.25;
1074;55.58;
1075;57.79;
1076;59.98;
1077;62.15;
1078;66.26;
1079;70.04;
1080;71.88;
1081;73.55;
1082;75.17;
1083;78.24;
1084;79.61;
1085;81.10;
1086;82.24;
1087;84.66;
1088;85.54;
1089;86.45;
1090;87.30;
1091;88.08;
1092;88.77;
1093;89.55;
1094;90.01;
1095;90.47;
1096;90.64;
1097;90.82;
1098;90.80;
1099;90.62;
1100;90.41;
1101;90.18;
1102;89.98;
1103;89.82;
1104;89.71;
1105;89.50;
1106;88.81;
1107;88.10;
1108;87.07;
1109;84.76;
1110;83.46;
1111;82.06;
1112;80.55;
1113;77.34;
1114;75.63;
1115;73.91;
1116;71.80;
1117;68.01;
1118;65.89;
1119;63.97;
1120;61.79;
1121;57.35;
1122;54.90;
1123;53.12;
1124;50.81;
1125;48.22;
1126;45.61;
1127;42.74;
1128;40.19;
1129;37.47;
1130;34.46;
1131;28.92;
1132;23.35;
1133;20.61;
1134;17.69;
1135;14.99;
1136;14.99;
1137;9.51;
1138;6.63;
1139;3.73;
1140;0.75;
1141;-2.11;
1142;-5.03;
1143;-7.88;
1144;-10.78;
1145;-16.49;
1146;-19.31;
1147;-22.13;
1148;-24.89;
1149;-30.45;
1150;-33.13;
1151;-38.46;
1152;-41.02;
1153;-43.52;
1154;-46.04;
1155;-50.89;
1156;-53.30;
1157;-55.57;
1158;-57.80;
1159;-62.12;
1160;-62.12;
1161;-66.16;
1162;-68.11;
1163;-69.95;
1164;-71.78;
1165;-73.45;
1166;-75.15;
1167;-76.71;
1168;-78.26;
1169;-80.95;
1170;-83.41;
1171;-84.48;
1172;-85.55;
1173;-86.44;
1174;-87.29;
1175;-87.98;
1176;-88.73;
1177;-89.36;
1178;-89.81;
1179;-90.29;
1180;-90.65;
1181;-90.80;
1182;-90.74;
1183;-90.69;
1184;-90.66;
1185;-90.63;
1186;-90.59;
1187;-90.47;
1188;-90.20;
1189;-88.86;
1190;-87.89;
1191;-86.87;
1192;-85.79;
1193;-83.21;
1194;-81.82;
1195;-80.38;
1196;-78.72;
1197;-75.46;
1198;-73.60;
1199;-71.85;
1200;-69.81;
1201;-65.89;
1202;-61.69;
1203;-59.43;
1204;-57.22;
1205;-54.90;
1206;-54.90;
1207;-50.62;
1208;-47.84;
1209;-45.48;
1210;-42.74;
1211;-40.17;
1212;-37.40;
1213;-32.53;
1214;-32.53;
1215;-26.02;
1216;-23.27;
1217;-20.60;
1218;-17.81;
1219;-15.01;
1220;-12.42;
1221;-6.70;
1222;-0.80;
1223;2.05;
1224;4.91;
1225;7.76;
1226;10.62;
1227;13.51;
1228;16.39;
1229;19.20;
1230;22.02;
1231;27.57;
1232;27.57;
1233;32.98;
1234;35.67;
1235;40.94;
1236;43.48;
1237;48.41;
1238;50.83;
1239;53.20;
1240;55.54;
1241;59.97;
1242;62.08;
1243;64.18;
1244;66.18;
1245;69.98;
1246;71.77;
1247;73.47;
1248;75.10;
1249;78.20;
1250;79.61;
1251;81.05;
1252;82.21;
1253;83.45;
1254;84.60;
1255;85.49;
1256;86.44;
1257;88.10;
1258;88.10;
1259;89.29;
1260;89.70;
1261;90.11;
1262;90.45;
1263;90.64;
1264;90.77;
1265;90.73;
1266;90.59;
1267;90.48;
1268;90.28;
1269;90.04;
1270;89.85;
1271;89.50;
1272;88.84;
1273;88.10;
1274;87.12;
1275;85.85;
1276;84.74;
1277;82.05;
1278;80.61;
1279;79.07;
1280;77.39;
1281;75.69;
1282;73.95;
1283;70.11;
1284;65.93;
1285;64.00;
1286;61.82;
1287;59.61;
1288;57.38;
1289;54.97;
1290;53.15;
1291;48.26;
1292;45.67;
1293;42.79;
1294;40.24;
1295;31.61;
1296;28.92;
1297;26.17;
1298;23.38;
1299;17.73;
1300;14.92;
1301;12.37;
1302;9.60;
1303;3.86;
1304;0.88;
1305;-2.04;
1306;-5.00;
1307;-7.86;
1308;-10.72;
1309;-16.43;
1310;-19.24;
1311;-22.08;
1312;-24.84;
1313;-27.61;
1314;-30.38;
1315;-35.72;
1316;-35.72;
1317;-40.96;
1318;-43.48;
1319;-45.99;
1320;-48.43;
1321;-50.82;
1322;-53.23;
1323;-57.76;
1324;-59.97;
1325;-62.08;
1326;-64.14;
